Image_Index,Page_URL,Device,Image_Alt_or_Desc,imageUrl,Displayed_Width_px,Displayed_Height_px,Natural_Width_px,Natural_Height_px,Pixelation_Issues
130,https://www.simplilearn.com/applied-ai-course,Mobile,Gradio,https://www.simplilearn.com/ice9/tools_covered/Gen-AI/Gradio.png,16,9,366,138,No
131,https://www.simplilearn.com/applied-ai-course,Mobile,Streamlit,https://www.simplilearn.com/ice9/tools_covered/streamlit.png,16,9,512,166,No
132,https://www.simplilearn.com/applied-ai-course,Mobile,Stability AI,https://www.simplilearn.com/ice9/tools_covered/New%20Folder/stability%20ai-png.png,16,9,772,151,No
133,https://www.simplilearn.com/applied-ai-course,Mobile,JUPYTER,https://www.simplilearn.com/ice9/tools_covered/jupyter.jpg,16,9,266,321,No
134,https://www.simplilearn.com/applied-ai-course,Mobile,Ricardo Calix,https://www.simplilearn.com/ice9/program_directors/Purdue/Ricardo_Calix.png,16,9,200,200,No
135,https://www.simplilearn.com/applied-ai-course,Mobile,Armando Galeana,https://www.simplilearn.com/ice9/program_directors/Purdue/Armando.jpg,16,9,200,200,No
136,https://www.simplilearn.com/applied-ai-course,Mobile,Amitendra Srivastava,https://www.simplilearn.com/ice9/program_directors/Purdue/Amintendra-nn.jpg,16,9,200,200,No
137,https://www.simplilearn.com/applied-ai-course,Mobile,Raghav Goel,https://www.simplilearn.com/ice9/program_directors/Purdue/Raghav.jpg,16,9,200,200,No
138,https://www.simplilearn.com/applied-ai-course,Mobile,Bassel Dakhlallah,https://www.simplilearn.com/ice9/assets/Bassel.jpg,16,9,124,154,No
139,https://www.simplilearn.com/applied-ai-course,Mobile,Sohail Hosseini,https://www.simplilearn.com/ice9/assets/Sohail.jpg,16,9,124,154,No
140,https://www.simplilearn.com/applied-ai-course,Mobile,Group Mentoring & Networking,https://www.simplilearn.com/ice9/assets/pg-page/Career-Support-1.jpg,105,60,444,250,No
141,https://www.simplilearn.com/applied-ai-course,Mobile,Interview Prep & Assessment,https://www.simplilearn.com/ice9/assets/pg-page/Career-Support-2_1.jpg,105,60,222,125,No
142,https://www.simplilearn.com/applied-ai-course,Mobile,AI-Powered Profile Optimization,https://www.simplilearn.com/ice9/assets/pg-page/Career-Support-2.jpg,105,60,444,250,No
143,https://www.simplilearn.com/applied-ai-course,Mobile,Mock Interviews & Mentoring,https://www.simplilearn.com/ice9/assets/pg-page/Career-Support-4.jpg,105,60,446,250,No
144,https://www.simplilearn.com/applied-ai-course,Mobile,Netflix,https://www.simplilearn.com/ice9/logos/Netflix.png,133,36,149,40,No
145,https://www.simplilearn.com/applied-ai-course,Mobile,Amazon,https://www.simplilearn.com/ice9/logos/Amazon.png,99,30,99,30,No
146,https://www.simplilearn.com/applied-ai-course,Mobile,Google,https://www.simplilearn.com/ice9/logos/Google.png,85,28,85,28,No
147,https://www.simplilearn.com/applied-ai-course,Mobile,Bosch,https://www.simplilearn.com/ice9/logos/ds/Bosch_Manufacturing.jpg,95,60,95,60,No
148,https://www.simplilearn.com/applied-ai-course,Mobile,Microsoft,https://www.simplilearn.com/ice9/logos/Microsoft.png,103,22,103,22,No
149,https://www.simplilearn.com/applied-ai-course,Mobile,Apple,https://www.simplilearn.com/ice9/logos/Apple.png,95,60,95,60,Yes – blurry
150,https://www.simplilearn.com/applied-ai-course,Mobile,Linkedin,https://www.simplilearn.com/ice9/logos/LinkedIn.png,98,26,98,26,No
151,https://www.simplilearn.com/applied-ai-course,Mobile,EY,https://www.simplilearn.com/ice9/logos/EY.png,84,40,84,40,No
152,https://www.simplilearn.com/applied-ai-course,Mobile,Accenture,https://www.simplilearn.com/ice9/logos/Accenture.png,95,60,95,60,No
153,https://www.simplilearn.com/applied-ai-course,Mobile,Deloitte,https://www.simplilearn.com/ice9/logos/Deloitte.png,133,45,175,60,No
154,https://www.simplilearn.com/applied-ai-course,Mobile,Facebook,https://www.simplilearn.com/ice9/logos/facebook.png,112,23,286,60,No
155,https://www.simplilearn.com/applied-ai-course,Mobile,Apple,https://www.simplilearn.com/ice9/logos/Apple.png,95,60,95,60,Yes – blurry
156,https://www.simplilearn.com/applied-ai-course,Mobile,Microsoft,https://www.simplilearn.com/ice9/logos/microsoft.png,112,32,211,60,No
157,https://www.simplilearn.com/applied-ai-course,Mobile,Netflix,https://www.simplilearn.com/ice9/logos/Netflix.png,112,30,149,40,No
158,https://www.simplilearn.com/applied-ai-course,Mobile,Amazon,https://www.simplilearn.com/ice9/logos/Amazon.png,99,30,99,30,No
159,https://www.simplilearn.com/applied-ai-course,Mobile,IBM,https://www.simplilearn.com/ice9/logos/aiml/IBM_IT.jpg,95,60,95,60,No
160,https://www.simplilearn.com/applied-ai-course,Mobile,Nvidia,https://www.simplilearn.com/ice9/logos/Nvidia.png,112,21,116,22,No
